icao,name,city,state,country,lat,lon,timezone_id,mississippi_direction
KDVO,Gnoss Field,Novato,CA,US,38.1435758,-122.5570914,America/Los_Angeles,WEST
KDVP,Slayton Muni,Slayton,MN,US,43.986792,-95.782611,America/Chicago,WEST
KDVT,Phoenix Deer Valley,Phoenix,AZ,US,33.6883056,-112.0825556,America/Phoenix,WEST
KDWA,Yolo County,Davis/Woodland/Winters,CA,US,38.5793889,-121.8569444,America/Los_Angeles,WEST
KDWH,Hooks Mem,Houston,TX,US,30.0617791,-95.5527884,America/Chicago,WEST
KDWU,Ashland Rgnl,Ashland,KY,US,38.5544608,-82.7376619,America/New_York,EAST
KDWX,Dixon,Dixon,WY,US,41.0374414,-107.4925281,America/Denver,WEST
KDXE,Dexter Muni,Dexter,MO,US,36.7754167,-89.94125,America/Chicago,WEST
KDXR,Danbury Muni,Danbury,CT,US,41.3715344,-73.4821894,America/New_York,EAST
KDXX,Lac Qui Parle County,Madison,MN,US,44.9864353,-96.1778595,America/Chicago,WEST
KDYA,Demopolis Rgnl,Demopolis,AL,US,32.4638333,-87.9540556,America/Chicago,EAST
KDYB,Summerville,Summerville,SC,US,33.0622778,-80.2809167,America/New_York,EAST
KDYL,Doylestown,Doylestown,PA,US,40.3330503,-75.1223383,America/New_York,EAST
KDYR,Dyersburg Rgnl,Dyersburg,TN,US,35.9979722,-89.4065833,America/Chicago,EAST
KDYT,Sky Harbor,Duluth,MN,US,46.7221225,-92.0443858,America/Chicago,EAST
KDZB,Horseshoe Bay Resort,Horseshoe Bay,TX,US,30.5270514,-98.3587569,America/Chicago,WEST
KDZJ,Blairsville,Blairsville,GA,US,34.8544314,-83.99732,America/New_York,EAST
KEAG,Eagle Grove Muni,Eagle Grove,IA,US,42.7099167,-93.9161111,America/Chicago,WEST
KEAN,Phifer Airfield,Wheatland,WY,US,42.0555197,-104.9282831,America/Denver,WEST
KEAR,Kearney Rgnl,Kearney,NE,US,40.7270406,-99.00677,America/Chicago,WEST
KEAT,Pangborn Meml,Wenatchee,WA,US,47.3988056,-120.2068333,America/Los_Angeles,WEST
KEAU,Chippewa Valley Rgnl,Eau Claire,WI,US,44.8658056,-91.48425,America/Chicago,EAST
KEBA,Elbert County-Patz Fld,Elberton,GA,US,34.0954025,-82.8174925,America/New_York,EAST
KEBD,Southern West Virginia Rgnl,Williamson,WV,US,37.681764,-82.1220666,America/New_York,EAST
KEBG,South Texas Intl At Edinburg,Edinburg,TX,US,26.4416667,-98.1222222,America/Chicago,WEST
KEBS,Webster City Muni,Webster City,IA,US,42.4364135,-93.868967,America/Chicago,WEST
KECG,Elizabeth City Rgnl,Elizabeth City,NC,US,36.2605756,-76.1745672,America/New_York,EAST
KECP,Northwest Florida Beaches Intl,Panama City,FL,US,30.3582408,-85.7956022,America/Chicago,EAST
KECS,Mondell Fld,Newcastle,WY,US,43.88425,-104.3145,America/Denver,WEST
KECU,Edwards County,Rocksprings,TX,US,29.9469196,-100.1738547,America/Chicago,WEST
KEDC,Austin Exec,Austin,TX,US,30.3974931,-97.5663935,America/Chicago,WEST
KEDE,Northeastern Rgnl,Edenton,NC,US,36.02859,-76.5697675,America/New_York,EAST
KEDJ,Bellefontaine Rgnl,Bellefontaine,OH,US,40.3722778,-83.81925,America/New_York,EAST
KEDN,Enterprise Muni,Enterprise,AL,US,31.2997222,-85.8998333,America/Chicago,EAST
KEDU,University,Davis,CA,US,38.5314622,-121.7864817,America/Los_Angeles,WEST
KEED,Needles,Needles,CA,US,34.7663468,-114.6232799,America/Los_Angeles,WEST
KEEN,Dillant/Hopkins,Keene,NH,US,42.8983889,-72.2707778,America/New_York,EAST
KEEO,Meeker Coulter Fld,Meeker,CO,US,40.0488056,-107.8859167,America/Denver,WEST
KEET,Shelby County,Alabaster,AL,US,33.1777778,-86.7832222,America/Chicago,EAST
KEFC,Belle Fourche Muni,Belle Fourche,SD,US,44.734556,-103.861806,America/Denver,WEST
KEFD,Houston Ellington,Houston,TX,US,29.6073333,-95.15875,America/Chicago,WEST
KEFK,Northeast Kingdom Intl,Newport,VT,US,44.8881756,-72.2286353,America/New_York,EAST
KEFT,Monroe Muni,Monroe,WI,US,42.6149007,-89.5904034,America/Chicago,EAST
KEFW,Jefferson Muni,Jefferson,IA,US,42.0098333,-94.3418056,America/Chicago,WEST
KEGE,Eagle County,Eagle,CO,US,39.64275,-106.9159444,America/Denver,WEST
KEGQ,Emmetsburg Muni,Emmetsburg,IA,US,43.1020556,-94.7045278,America/Chicago,WEST
KEGT,Wellington Muni,Wellington,KS,US,37.323611,-97.388333,America/Chicago,WEST
KEGV,Eagle River Union,Eagle River,WI,US,45.9323333,-89.2682778,America/Chicago,EAST
KEHA,Elkhart-Morton County,Elkhart,KS,US,37.0007822,-101.8800278,America/Chicago,WEST
KEHO,Shelby County Rgnl,Shelby,NC,US,35.2557492,-81.6007644,America/New_York,EAST
KEHR,Henderson City-County,Henderson,KY,US,37.8078333,-87.6856944,America/Chicago,EAST
KEIK,Erie Muni,Erie,CO,US,40.01025,-105.0480833,America/Denver,WEST
KEIW,County Meml,New Madrid,MO,US,36.5353056,-89.5997222,America/Chicago,WEST
KEKA,Murray Fld,Eureka,CA,US,40.8033981,-124.1127903,America/Los_Angeles,WEST
KEKM,Elkhart Muni,Elkhart,IN,US,41.7194062,-86.003219,America/Indiana/Indianapolis,EAST
KEKN,Elkins-Randolph Co,Elkins,WV,US,38.8894444,-79.8571389,America/New_York,EAST
KEKO,Elko Rgnl,Elko,NV,US,40.8249986,-115.7913375,America/Los_Angeles,WEST
KEKQ,Wayne County,Monticello,KY,US,36.855278,-84.856139,America/New_York,EAST
KEKS,Ennis Big Sky,Ennis,MT,US,45.2757247,-111.6489156,America/Denver,WEST
KEKX,Addington Fld,Elizabethtown,KY,US,37.686,-85.9250278,America/New_York,EAST
KEKY,Bessemer,Bessemer,AL,US,33.3126111,-86.9263056,America/Chicago,EAST
KELA,Eagle Lake,Eagle Lake,TX,US,29.6000278,-96.3219444,America/Chicago,WEST
KELD,S Arkansas Regional,El Dorado,AR,US,33.2212378,-92.8117489,America/Chicago,WEST
KELK,Elk City Rgnl Business,Elk City,OK,US,35.4307778,-99.3942778,America/Chicago,WEST
KELM,Elmira/Corning Rgnl,Elmira/Corning,NY,US,42.1598547,-76.8917478,America/New_York,EAST
KELN,Bowers Fld,Ellensburg,WA,US,47.0348455,-120.5288591,America/Los_Angeles,WEST
KELO,Ely Muni,Ely,MN,US,47.8240131,-91.8293206,America/Chicago,EAST
KELP,El Paso Intl,El Paso,TX,US,31.8073333,-106.3763611,America/Denver,WEST
KELY,Ely/Yelland Fld,Ely,NV,US,39.2996883,-114.8418781,America/Los_Angeles,WEST
KELZ,Wellsville Muni,Wellsville,NY,US,42.1095239,-77.9899786,America/New_York,EAST
KEMM,Kemmerer Muni,Kemmerer,WY,US,41.8240833,-110.5569444,America/Denver,WEST
KEMP,Emporia Muni,Emporia,KS,US,38.3305633,-96.1899319,America/Chicago,WEST
KEMT,San Gabriel Valley,El Monte,CA,US,34.0860089,-118.0348453,America/Los_Angeles,WEST
KEMV,Emporia-Greensville Rgnl,Emporia,VA,US,36.6868581,-77.4827489,America/New_York,EAST
KENL,Centralia Muni,Centralia,IL,US,38.5150833,-89.0911389,America/Chicago,EAST
KENV,Wendover,Wendover,UT,US,40.7187253,-114.0286736,America/Denver,WEST
KENW,Kenosha Rgnl,Kenosha,WI,US,42.5960633,-87.9273236,America/Chicago,EAST
KEOE,Newberry County,Newberry,SC,US,34.3093333,-81.6406667,America/New_York,EAST
KEOK,Keokuk Muni,Keokuk,IA,US,40.4599078,-91.4285011,America/Chicago,WEST
KEOP,Pike County,Waverly,OH,US,39.1669722,-82.9283333,America/New_York,EAST
KEOS,Neosho Hugh Robinson,Neosho,MO,US,36.8108056,-94.3916944,America/Chicago,WEST
KEPH,Ephrata Muni,Ephrata,WA,US,47.3080717,-119.5169136,America/Los_Angeles,WEST
KEPM,Eastport Muni,Eastport,ME,US,44.9101111,-67.0126944,America/New_York,EAST
KEQA,El Dorado,El Dorado,KS,US,37.7741111,-96.8177222,America/Chicago,WEST
KEQY,Charlotte/Monroe Exec,Monroe,NC,US,35.0174161,-80.6220558,America/New_York,EAST
KERI,Erie Intl/Tom Ridge Fld,Erie,PA,US,42.0830833,-80.1739444,America/New_York,EAST
KERV,Kerrville Muni,Kerrville,TX,US,29.9766667,-99.0854722,America/Chicago,WEST
KERY,Luce County,Newberry,MI,US,46.311,-85.4571667,America/Detroit,EAST
KESC,Delta County,Escanaba,MI,US,45.7226742,-87.0937158,America/Detroit,EAST
KESF,Esler Rgnl,Alexandria,LA,US,31.3949042,-92.2957731,America/Chicago,WEST
KESN,Easton/Newnam Fld,Easton,MD,US,38.80416,-76.0689903,America/New_York,EAST
KEST,Estherville Muni,Estherville,IA,US,43.4074722,-94.7463889,America/Chicago,WEST
KETB,West Bend Muni,West Bend,WI,US,43.4221667,-88.1279167,America/Chicago,EAST
KETC,Tarboro-Edgecombe,Tarboro,NC,US,35.9372631,-77.5464803,America/New_York,EAST
KETH,Wheaton Muni,Wheaton,MN,US,45.7805061,-96.543798,America/Chicago,WEST
KETN,Eastland Muni,Eastland,TX,US,32.4148889,-98.8096944,America/Chicago,WEST
KEUF,Weedon Fld,Eufaula,AL,US,31.9513056,-85.1289167,America/Chicago,EAST
KEUG,Mahlon Sweet Fld,Eugene,OR,US,44.1245833,-123.2119722,America/Los_Angeles,WEST
KEUL,Caldwell Exec,Caldwell,ID,US,43.6418489,-116.6357642,America/Boise,WEST
KEVB,New Smyrna Beach Muni,New Smyrna Beach,FL,US,29.0556944,-80.9489167,America/New_York,EAST
KEVM,Eveleth/Virginia Muni,Eveleth,MN,US,47.4241667,-92.4965556,America/Chicago,EAST
KEVU,Northwest Missouri Rgnl,Maryville,MO,US,40.3532912,-94.9166354,America/Chicago,WEST
KEVV,Evansville Rgnl,Evansville,IN,US,38.0408056,-87.5285,America/Chicago,EAST
KEVW,Evanston-Uinta Co ,Evanston,WY,US,41.2747778,-111.0346389,America/Denver,WEST
KEVY,Summit,Middletown,DE,US,39.5210278,-75.7236667,America/New_York,EAST
KEWB,New Bedford Rgnl,New Bedford,MA,US,41.6765661,-70.9578361,America/New_York,EAST
KEWK,Newton-City-County,Newton,KS,US,38.0571014,-97.2752283,America/Chicago,WEST
KEWN,Coastal Carolina Rgnl,New Bern,NC,US,35.0728544,-77.0430197,America/New_York,EAST
KEWR,Newark Liberty Intl,Newark,NJ,US,40.6924798,-74.1686868,America/New_York,EAST
KEXX,Davidson County Exec,Lexington,NC,US,35.7811414,-80.3037733,America/New_York,EAST
KEYE,Eagle Creek Airpark,Indianapolis,IN,US,39.8307174,-86.2943857,America/Indiana/Indianapolis,EAST
KEYF,Curtis L Brown Jr Fld,Elizabethtown,NC,US,34.6018156,-78.5792764,America/New_York,EAST
KEYW,Key West Intl,Key West,FL,US,24.5561197,-81.7599558,America/New_York,EAST
KEZF,Shannon,Fredericksburg,VA,US,38.2662222,-77.4493889,America/New_York,EAST
KEZI,Kewanee Muni,Kewanee,IL,US,41.2051944,-89.9638611,America/Chicago,EAST
KEZM,Heart of Georgia Rgnl,Eastman,GA,US,32.2163889,-83.1286667,America/New_York,EAST
KEZS,Shawano Muni,Shawano,WI,US,44.7873058,-88.5600125,America/Chicago,EAST
KEZZ,Cameron Meml,Cameron,MO,US,39.7275556,-94.2763889,America/Chicago,WEST
KFAM,Farmington Rgnl,Farmington,MO,US,37.7610178,-90.4285981,America/Chicago,WEST
KFAR,Hector Intl,Fargo,ND,US,46.9206389,-96.81575,America/Chicago,WEST
KFAT,Fresno Yosemite Intl,Fresno,CA,US,36.7765556,-119.7188333,America/Los_Angeles,WEST
KFAY,Fayetteville Rgnl,Fayetteville,NC,US,34.9912111,-78.8802742,America/New_York,EAST
KFBL,Faribault Muni-Liz Wall Strohfus Fld,Faribault,MN,US,44.3289694,-93.3130736,America/Chicago,WEST
KFBR,Fort Bridger,Fort Bridger,WY,US,41.3933333,-110.4059722,America/Denver,WEST
KFBY,Fairbury Muni,Fairbury,NE,US,40.1819722,-97.1678889,America/Chicago,WEST
KFCH,Fresno Chandler Exec,Fresno,CA,US,36.7321242,-119.8203325,America/Los_Angeles,WEST
KFCI,Richmond Exec/Chesterfield County,Richmond,VA,US,37.4064444,-77.5248333,America/New_York,EAST
KFCM,Flying Cloud,Minneapolis,MN,US,44.8275072,-93.4585717,America/Chicago,WEST
KFCY,Hutfly,Forrest City,AR,US,34.9419981,-90.7749661,America/Chicago,WEST
KFDK,Frederick Muni,Frederick,MD,US,39.4170211,-77.3747322,America/New_York,EAST
KFDR,Frederick Rgnl,Frederick,OK,US,34.3520958,-98.9839091,America/Chicago,WEST
KFDW,Fairfield County,Winnsboro,SC,US,34.3157222,-81.1085556,America/New_York,EAST
KFDY,Findlay,Findlay,OH,US,41.0120278,-83.6686111,America/New_York,EAST
KFEP,Albertus,Freeport,IL,US,42.2461147,-89.5819767,America/Chicago,EAST
KFET,Fremont Muni,Fremont,NE,US,41.4499444,-96.5211944,America/Chicago,WEST
KFFA,First Flight,Kill Devil Hills,NC,US,36.0175833,-75.6715833,America/New_York,EAST
KFFC,Falcon Field,Atlanta,GA,US,33.3577222,-84.5725278,America/New_York,EAST
KFFL,Fairfield Muni,Fairfield,IA,US,41.0557198,-91.9808218,America/Chicago,WEST
KFFM,Fergus Falls Muni,Fergus Falls,MN,US,46.2843889,-96.1566944,America/Chicago,WEST
KFFT,Capital City,Frankfort,KY,US,38.1817317,-84.9067498,America/New_York,EAST
KFFX,Fremont Muni,Fremont,MI,US,43.4393056,-85.9948889,America/Detroit,EAST
KFFZ,Falcon Fld,Mesa,AZ,US,33.4608406,-111.7283253,America/Phoenix,WEST
KFGU,Collegedale Muni,Collegedale,TN,US,35.044422,-85.020067,America/New_York,EAST
KFGX,Fleming-Mason,Flemingsburg,KY,US,38.5416056,-83.7440186,America/New_York,EAST
KFHB,Fernandina Beach Muni,Fernandina Beach,FL,US,30.6118333,-81.4611944,America/New_York,EAST
KFHR,Friday Harbor,Friday Harbor,WA,US,48.5219722,-123.0243611,America/Los_Angeles,WEST
KFHU,Sierra Vista Municipal ,Fort Huachuca Sierra Vista,AZ,US,31.5884722,-110.3443889,America/Phoenix,WEST
KFIG,Clearfield-Lawrence,Clearfield,PA,US,41.0491336,-78.4151579,America/New_York,EAST
KFIN,Flagler Exec,Palm Coast,FL,US,29.4651511,-81.2076483,America/New_York,EAST
KFIT,Fitchburg Muni,Fitchburg,MA,US,42.5538472,-71.7591739,America/New_York,EAST
KFKA,Fillmore County,Preston,MN,US,43.67675,-92.17975,America/Chicago,WEST
KFKL,Venango Rgnl,Franklin,PA,US,41.3774167,-79.8606389,America/New_York,EAST
KFKN,Franklin Municipal,Franklin,VA,US,36.7002964,-76.9021356,America/New_York,EAST
KFKR,Frankfort Clinton County Rgnl,Frankfort,IN,US,40.2734308,-86.5621703,America/Indiana/Indianapolis,EAST
KFKS,Frankfort Dow Mem Fld,Frankfort,MI,US,44.6252017,-86.2008553,America/Detroit,EAST
KFLD,Fond Du Lac County,Fond Du Lac,WI,US,43.7711667,-88.4884167,America/Chicago,EAST
KFLG,Flagstaff Pulliam,Flagstaff,AZ,US,35.1403158,-111.6692414,America/Phoenix,WEST
KFLL,Fort Lauderdale Intl,Fort Lauderdale,FL,US,26.0716667,-80.1496944,America/New_York,EAST
KFLO,Florence Rgnl,Florence,SC,US,34.1853633,-79.7238831,America/New_York,EAST
KFLP,Marion County Rgnl,Flippin,AR,US,36.2908889,-92.59025,America/Chicago,WEST
KFLV,Sherman Aaf,Fort Leavenworth,KS,US,39.3675756,-94.9143397,America/Chicago,WEST
KFLX,Fallon Muni,Fallon,NV,US,39.4991694,-118.7487922,America/Los_Angeles,WEST
KFLY,Meadow Lake,Colorado Springs,CO,US,38.9427697,-104.5699047,America/Denver,WEST
KFME,Tipton,Fort Meade (Odenton),MD,US,39.0853867,-76.7594144,America/New_York,EAST
KFMM,Fort Morgan Muni,Fort Morgan,CO,US,40.3354444,-103.8041667,America/Denver,WEST
KFMN,Four Corners Rgnl,Farmington,NM,US,36.7412511,-108.2299417,America/Denver,WEST
KFMY,Page Fld,Fort Myers,FL,US,26.586615,-81.8632469,America/New_York,EAST
KFMZ,Fairmont State,Fairmont,NE,US,40.5860976,-97.5731366,America/Chicago,WEST
KFNB,Brenner Fld,Falls City,NE,US,40.0787778,-95.592,America/Chicago,WEST
KFNL,Northern Colorado Regional,Fort Collins/Loveland,CO,US,40.4518158,-105.0113256,America/Denver,WEST
KFNT,Bishop Intl,Flint,MI,US,42.9654639,-83.7447381,America/Detroit,EAST
KFOA,Flora Muni,Flora,IL,US,38.6649902,-88.453112,America/Chicago,EAST
KFOD,Fort Dodge Rgnl,Fort Dodge,IA,US,42.5511944,-94.1918333,America/Chicago,WEST
KFOE,Topeka Rgnl,Topeka,KS,US,38.9509492,-95.6636136,America/Chicago,WEST
KFOK,Francis S Gabreski,Westhampton Beach,NY,US,40.8436186,-72.6318119,America/New_York,EAST
KFOM,Fillmore Muni,Fillmore,UT,US,38.9581389,-112.3631389,America/Denver,WEST
KFOT,Rohnerville,Fortuna,CA,US,40.5539414,-124.1326556,America/Los_Angeles,WEST
KFOZ,Bigfork Muni,Bigfork,MN,US,47.783934,-93.6509937,America/Chicago,EAST
KFPK,Fitch H Beach,Charlotte,MI,US,42.5740889,-84.8120972,America/Detroit,EAST
KFPR,Treasure Coast Intl,Fort Pierce,FL,US,27.4974722,-80.3726389,America/New_York,EAST
KFPY,Perry-Foley,Perry,FL,US,30.0708125,-83.5815439,America/New_York,EAST
KFQD,Rutherford Co,Rutherfordton,NC,US,35.4282222,-81.9350778,America/New_York,EAST
KFRG,Republic,Farmingdale,NY,US,40.7292742,-73.4134208,America/New_York,EAST
KFRH,French Lick Muni,French Lick,IN,US,38.5062222,-86.6369444,America/Indiana/Indianapolis,EAST
KFRM,Fairmont Muni,Fairmont,MN,US,43.6439444,-94.4156111,America/Chicago,WEST
KFRR,Front Royal-Warren County,Front Royal,VA,US,38.9175122,-78.2533733,America/New_York,EAST
KFSD,Joe Foss Fld,Sioux Falls,SD,US,43.5820181,-96.7419253,America/Chicago,WEST
KFSE,Fosston Muni/Anderson Fld,Fosston,MN,US,47.5928297,-95.7734867,America/Chicago,WEST
KFSK,Fort Scott Muni,Fort Scott,KS,US,37.7983611,-94.7693611,America/Chicago,WEST
KFSM,Fort Smith Rgnl,Fort Smith,AR,US,35.3366464,-94.3661092,America/Chicago,WEST
KFSO,Franklin County State,Highgate,VT,US,44.9402778,-73.0974722,America/New_York,EAST
KFST,Fort Stockton County,Fort Stockton,TX,US,30.91525,-102.9127778,America/Chicago,WEST
KFSU,Fort Sumner Muni,Fort Sumner,NM,US,34.487772,-104.216947,America/Denver,WEST
KFSW,Fort Madison Muni,Fort Madison,IA,US,40.6591111,-91.32775,America/Chicago,WEST
KFTT,Elton Hensley Meml,Fulton,MO,US,38.8381111,-92.0025833,America/Chicago,WEST
KFTW,Fort Worth Meacham Intl,Fort Worth,TX,US,32.8197703,-97.36245,America/Chicago,WEST
KFTY,Fulton County ,Atlanta,GA,US,33.7791264,-84.521366,America/New_York,EAST
KFUL,Fullerton Muni,Fullerton,CA,US,33.8720142,-117.9797842,America/Los_Angeles,WEST
KFVE,Northern Aroostook Rgnl,Frenchville,ME,US,47.2855,-68.3127222,America/New_York,EAST
KFVX,Farmville Rgnl,Farmville,VA,US,37.3575278,-78.4378056,America/New_York,EAST
KFWA,Fort Wayne Intl,Fort Wayne,IN,US,40.9784722,-85.1951667,America/Indiana/Indianapolis,EAST
KFWB,Branson West Muni - Emerson Fld,Branson West,MO,US,36.6985,-93.40225,America/Chicago,WEST
KFWC,Fairfield Muni,Fairfield,IL,US,38.3786331,-88.4126522,America/Chicago,EAST
KFWN,Sussex,Sussex,NJ,US,41.2002139,-74.6230353,America/New_York,EAST
KFWQ,Rostraver,Monongahela,PA,US,40.2097222,-79.8314444,America/New_York,EAST
KFWS,Fort Worth Spinks,Fort Worth,TX,US,32.5651336,-97.3084394,America/Chicago,WEST
KFXE,Fort Lauderdale Exec,Fort Lauderdale,FL,US,26.1972794,-80.1707063,America/New_York,EAST
KFXY,Forest City Muni,Forest City,IA,US,43.2347569,-93.6241039,America/Chicago,WEST
KFYE,Fayette County,Somerville,TN,US,35.2076944,-89.3944444,America/Chicago,EAST
KFYG,Washington Rgnl,Washington,MO,US,38.5875833,-90.9938056,America/Chicago,WEST
KFYJ,Middle Peninsula Rgnl,West Point,VA,US,37.5213611,-76.76275,America/New_York,EAST
KFYM,Fayetteville Muni,Fayetteville,TN,US,35.0596944,-86.564,America/Chicago,EAST
KFYV,Drake Fld,Fayetteville,AR,US,36.0050833,-94.1700556,America/Chicago,WEST
KFZG,Fitzgerald Muni,Fitzgerald,GA,US,31.6839046,-83.2709036,America/New_York,EAST
KFZI,Fostoria Metro,Fostoria,OH,US,41.1908333,-83.3930833,America/New_York,EAST
KFZY,Oswego County,Fulton,NY,US,43.3507736,-76.3880556,America/New_York,EAST
KGAD,Northeast Alabama Rgnl,Gadsden,AL,US,33.9726489,-86.0890834,America/Chicago,EAST
KGAF,Hutson Fld,Grafton,ND,US,48.4047156,-97.3709567,America/Chicago,WEST
KGAG,Gage,Gage,OK,US,36.2957653,-99.7764958,America/Chicago,WEST
KGAI,Montgomery County Airpark,Gaithersburg,MD,US,39.1683333,-77.166,America/New_York,EAST
KGAO,South Lafourche,Galliano,LA,US,29.4411111,-90.2611111,America/Chicago,WEST
KGAS,Gallia-Meigs Rgnl,Gallipolis,OH,US,38.8341115,-82.1634298,America/New_York,EAST
KGBD,Great Bend Muni,Great Bend,KS,US,38.3442514,-98.8591969,America/Chicago,WEST
KGBG,Galesburg Muni,Galesburg,IL,US,40.9380005,-90.4311236,America/Chicago,EAST
KGBR,Walter J Koladza,Great Barrington,MA,US,42.1842142,-73.4032406,America/New_York,EAST
KGCC,Northeast Wyoming Rgnl,Gillette,WY,US,44.3489081,-105.5393675,America/Denver,WEST
KGCD,Grant Co Rgnl/ogilvie Field,John Day,OR,US,44.402867,-118.967883,America/Los_Angeles,WEST
KGCK,Garden City Rgnl,Garden City,KS,US,37.9275278,-100.7244167,America/Chicago,WEST
KGCM,Claremore Rgnl,Claremore,OK,US,36.2927222,-95.4796111,America/Chicago,WEST
KGCN,Grand Canyon,Grand Canyon,AZ,US,35.9523611,-112.1469722,America/Phoenix,WEST
KGCT,Guthrie County Rgnl,Guthrie Center,IA,US,41.6869722,-94.4350556,America/Chicago,WEST
KGCY,Greeneville-Greene Co Muni,Greeneville,TN,US,36.1957222,-82.8113611,America/New_York,EAST
KGDA,Marion-Crittenden County James C Johnson Rgnl,Marion,KY,US,37.3359394,-88.1106708,America/Chicago,EAST
KGDB,Granite Falls Muni/lenzen-roe,Granite Falls,MN,US,44.752458,-95.555531,America/Chicago,WEST
KGDJ,Granbury Rgnl,Granbury,TX,US,32.4430722,-97.8213728,America/Chicago,WEST
KGDK,Greene County/Lewis a Jackson Rgnl,Dayton,OH,US,39.6907222,-83.9927778,America/New_York,EAST
KGDM,Gardner Muni,Gardner,MA,US,42.5498889,-72.0160278,America/New_York,EAST
KGDV,Dawson Community,Glendive,MT,US,47.1387222,-104.8072222,America/Denver,WEST
KGDW,Gladwin Zettel Memorial,Gladwin,MI,US,43.9705894,-84.4750197,America/Detroit,EAST
KGED,Delaware Coastal,Georgetown,DE,US,38.6876328,-75.3593044,America/New_York,EAST
KGEG,Spokane Intl,Spokane,WA,US,47.6190278,-117.5352222,America/Los_Angeles,WEST
KGEO,Brown County,Georgetown,OH,US,38.8819456,-83.8827367,America/New_York,EAST
KGEU,Glendale Muni,Glendale,AZ,US,33.5269167,-112.2951389,America/Phoenix,WEST
KGEV,Ashe County,Jefferson,NC,US,36.4324722,-81.4185,America/New_York,EAST
KGEY,South Big Horn County,Greybull,WY,US,44.5179444,-108.083,America/Denver,WEST
KGEZ,Shelbyville Muni,Shelbyville,IN,US,39.5831389,-85.8048056,America/Indiana/Indianapolis,EAST
KGFK,Grand Forks Intl,Grand Forks,ND,US,47.9472778,-97.1737778,America/Chicago,WEST
KGFL,Floyd Bennett Meml,Glens Falls,NY,US,43.3412222,-73.6103056,America/New_York,EAST
KGFZ,Greenfield Muni,Greenfield,IA,US,41.3272222,-94.4451667,America/Chicago,WEST
KGGE,Georgetown County,Georgetown,SC,US,33.3114167,-79.3203056,America/New_York,EAST
KGGF,Grant Muni,Grant,NE,US,40.8706634,-101.7338794,America/Denver,WEST
KGGG,East Texas Rgnl,Longview,TX,US,32.384,-94.7115,America/Chicago,WEST
KGGI,Grinnell Rgnl,Grinnell,IA,US,41.7098889,-92.7359722,America/Chicago,WEST
KGGP,Logansport/Cass County,Logansport,IN,US,40.7112644,-86.3727047,America/Indiana/Indianapolis,EAST
KGGW,Wokal Fld/Glasgow-Valley County,Glasgow,MT,US,48.2124444,-106.6148056,America/Denver,WEST
KGHG,Marshfield Muni,Marshfield,MA,US,42.0974988,-70.6730199,America/New_York,EAST
KGHM,Centerville Muni,Centerville,TN,US,35.8374167,-87.4453889,America/Chicago,EAST
KGHW,Glenwood Muni,Glenwood,MN,US,45.6438301,-95.3204489,America/Chicago,WEST
KGIC,Idaho County,Grangeville,ID,US,45.9426667,-116.1230278,America/Los_Angeles,WEST
KGIF,Winter Haven Rgnl,Winter Haven,FL,US,28.0629203,-81.7533144,America/New_York,EAST
KGJT,Grand Junction Rgnl,Grand Junction,CO,US,39.1214994,-108.5254856,America/Denver,WEST
KGKJ,Port Meadville,Meadville,PA,US,41.6265278,-80.2147222,America/New_York,EAST
KGKT,Gatlinburg-Pigeon Forge,Sevierville,TN,US,35.8577586,-83.5287031,America/New_York,EAST
KGKY,Arlington Muni,Arlington,TX,US,32.6638611,-97.0942778,America/Chicago,WEST
KGLD,Goodland Municipal,Goodland,KS,US,39.3707408,-101.6987339,America/Denver,WEST
KGLE,Gainesville Muni,Gainesville,TX,US,33.6521944,-97.1972778,America/Chicago,WEST
KGLH,Greenville Mid-Delta,Greenville,MS,US,33.4852483,-90.9844859,America/Chicago,WEST
KGLR,Gaylord Rgnl,Gaylord,MI,US,45.0130278,-84.7034444,America/Detroit,EAST
KGLS,Galveston Scholes Intl,Galveston,TX,US,29.2653333,-94.8604167,America/Chicago,WEST
KGLW,Glasgow Muni,Glasgow,KY,US,37.0317764,-85.9537558,America/Chicago,EAST
KGLY,Clinton Rgnl,Clinton,MO,US,38.3547003,-93.6791869,America/Chicago,WEST
KGMJ,Grove Rgnl,Grove,OK,US,36.6067778,-94.7385556,America/Chicago,WEST
KGMU,Greenville Downtown,Greenville,SC,US,34.8479317,-82.3499981,America/New_York,EAST
KGNB,Granby-Grand County,Granby,CO,US,40.0900556,-105.9166389,America/Denver,WEST
KGNC,Gaines County,Seminole,TX,US,32.6753333,-102.6526667,America/Chicago,WEST
KGNF,Grenada Muni,Grenada,MS,US,33.8324444,-89.7981667,America/Chicago,EAST
KGNG,Gooding Muni,Gooding,ID,US,42.9170808,-114.7663381,America/Boise,WEST
KGNT,Grants-Milan Muni,Grants,NM,US,35.1672778,-107.9020556,America/Denver,WEST
KGNV,Gainesville Rgnl,Gainesville,FL,US,29.6900556,-82.2717778,America/New_York,EAST
KGOK,Guthrie/Edmond Rgnl,Guthrie,OK,US,35.8515227,-97.4161776,America/Chicago,WEST
KGON,Groton-New London,Groton (New London),CT,US,41.3300556,-72.0451389,America/New_York,EAST
KGOO,Nevada County,Grass Valley,CA,US,39.2240556,-121.0025556,America/Los_Angeles,WEST
KGOP,Gatesville Muni,Gatesville,TX,US,31.4209389,-97.7964639,America/Chicago,WEST
